Status,Cloacimonadaceae_W5___Paenibacillaceae_Paenibacillus,Halomonadaceae_g.___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Yersiniaceae_g.,Comamonadaceae_Diaphorobacter___Paenibacillaceae_Paenibacillus,Comamonadaceae_g.___Paenibacillaceae_Paenibacillus,Actinomycetaceae_Actinomyces___Paenibacillaceae_Paenibacillus,Erwiniaceae_Pantoea___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Pseudomonadaceae_Pseudomonas,Lactobacillaceae_Lactobacillus___Paenibacillaceae_Paenibacillus,Chroococcidiopsaceae_Chroococcidiopsis___Paenibacillaceae_Paenibacillus,Micrococcaceae_Rothia___Paenibacillaceae_Paenibacillus,Beijerinckiaceae_Psychroglaciecola___Paenibacillaceae_Paenibacillus
pos,-2.786669789316985,-8.087459503319321,2.786669789316985,-2.9023541883164476,-2.737479545126213,-8.087459503319321,-8.087459503319321,0.9645631636996383,-3.4714487202064137,-8.087459503319321,-8.087459503319321,-2.8036193476307587
neg,2.316769727986002,-4.066401262263361,-2.841581593726733,-4.066401262263361,-4.066401262263361,-4.066401262263361,-4.066401262263361,-4.771894545968378,-4.066401262263361,-4.066401262263361,-4.066401262263361,3.983678994334581
neg,1.7047480922384255,-4.496141697156374,-2.388762789235098,1.88706964903238,1.3083328196501787,1.916922612182061,-4.496141697156374,-2.833213344056216,-0.1053605156578264,-4.496141697156374,-4.496141697156374,-4.496141697156374
pos,-1.9667009187243871,0.11090069603344155,0.774562572045454,-6.75872517585,-6.75872517585,-6.75872517585,-6.75872517585,2.63086056241108,-2.8189127939140195,-6.75872517585,0.5799830907598564,0.4845576969453804
pos,-6.03196525189148,-6.03196525189148,-0.36593426935152906,-6.03196525189148,0.3819346106979701,-6.03196525189148,-6.03196525189148,-2.4219173156372586,-2.662587827025453,-6.03196525189148,2.3413584789200064,1.0711056428782761
pos,-11.10999462311372,-11.10999462311372,11.109994623113717,-11.10999462311372,-11.10999462311372,-11.10999462311372,-11.10999462311372,8.644471742374995,-11.10999462311372,-11.10999462311372,-8.470118355230216,-11.10999462311372
pos,0,0,0,0,0,0,0,-6.510251738481666,0,0,0,0
neg,-4.0495941439469805,-4.0495941439469805,-2.881788014204773,1.0185695809945732,-4.0495941439469805,3.7946245112108405,-4.0495941439469805,-4.276666119016055,2.2713325494899412,-4.0495941439469805,-4.0495941439469805,2.5349170703626616
pos,0,0,0,0,0,0,0,0,0,0,6.048450138891727,0
pos,-9.647210921200882,-9.647210921200882,9.647210921200882,-9.647210921200882,-9.647210921200882,-9.647210921200882,-2.8837153983684227,1.3897159613734982,-8.785437569975544,-5.593590417495262,-9.647210921200882,-3.920470515025207
neg,-2.400615056892347,-2.400615056892347,2.400615056892347,2.9069010598473755,3.2503744919275714,-2.400615056892347,4.529368472571809,-5.136386499401816,-2.400615056892347,2.302585092994046,-2.400615056892347,1.2237754316221159
neg,0,0,-7.614390368818773,0,0,0,0,-8.561397155923375,0,0,0,0
