Status,Eggerthella_unclassified___Enterococcus_faecium,Haemophilus_haemolyticus___Streptococcus_parasanguinis,Clostridium_hathewayi___Enterococcus_faecium,Clostridium_hathewayi___Lactococcus_lactis,Haemophilus_haemolyticus___Haemophilus_paraphrohaemolyticus,Actinomyces_odontolyticus___Clostridium_hathewayi,Escherichia_unclassified___Haemophilus_haemolyticus,Akkermansia_muciniphila___Clostridium_difficile,Bacteroides_dorei___Granulicatella_unclassified,Bacteroides_dorei___Dorea_unclassified,Bacteroides_cellulosilyticus___Bacteroides_dorei,Clostridium_hathewayi___Lachnospiraceae_bacterium_9_1_43BFAA,Faecalibacterium_prausnitzii___Haemophilus_haemolyticus,Clostridium_hathewayi___Erysipelotrichaceae_bacterium_21_3,Bacteroides_dorei___Lachnospiraceae_bacterium_2_1_58FAA,Akkermansia_muciniphila___Alistipes_unclassified,Clostridium_clostridioforme___Clostridium_hathewayi,Bacteroides_dorei___Erysipelotrichaceae_bacterium_6_1_45,Akkermansia_muciniphila___Alistipes_onderdonkii,Anaerotruncus_unclassified___Haemophilus_haemolyticus,Clostridium_hathewayi___Enterococcus_faecalis,Clostridium_hathewayi___Collinsella_aerofaciens,Bacteroides_dorei___Roseburia_intestinalis,Bacteroides_vulgatus___Veillonella_parvula,Oscillibacter_unclassified___Streptococcus_salivarius,Akkermansia_muciniphila___Bacteroides_thetaiotaomicron,Eubacterium_eligens___Haemophilus_haemolyticus,Bacteroides_dorei___Eubacterium_rectale,Bacteroides_dorei___Ruminococcus_sp_5_1_39BFAA,Bacteroides_dorei___Dorea_formicigenerans,Clostridium_hathewayi___Enterococcus_casseliflavus,Eggerthella_unclassified___Streptococcus_australis,Collinsella_aerofaciens___Veillonella_unclassified,Actinobacillus_unclassified___Eggerthella_unclassified,Anaerostipes_hadrus___Haemophilus_haemolyticus,Clostridium_hathewayi___Lactobacillus_casei_paracasei,Eggerthella_lenta___Eggerthella_unclassified
FA,6.06654600632735,0,5.790965161154538,5.790965161154538,0,-5.790965161154538,7.243786042446886,0,1.1447033958683765,5.326230644588814,-5.326230644588814,3.621985219283906,3.6899080289987616,5.790965161154538,3.4255146893128616,0,-5.790965161154538,5.326230644588814,0,0,5.790965161154538,5.790965161154538,-4.276339350028391,-1.8296756916746775,10.207776736027533,0,0,5.326230644588814,5.326230644588814,5.326230644588814,5.790965161154538,6.06654600632735,-8.940659417488336,-1.8632449580573522,7.834795818602982,5.790965161154538,-2.353765315662597
FA,7.140032369340121,6.657898013784405,5.381283186131601,5.381283186131601,6.657898013784405,-5.3812831861316015,1.2188981781467745,0,-0.10256117549157634,4.333941900028796,-4.333941900028796,5.381283186131601,-6.657898013784405,-0.8536466849631809,4.333941900028796,0,-5.3812831861316015,4.333941900028796,0,-6.657898013784405,5.381283186131601,5.381283186131601,4.333941900028796,1.5010027754536968,-8.791063041309197,0,-6.657898013784405,4.333941900028796,4.333941900028796,-5.130868147805654,5.381283186131601,7.140032369340121,-9.41424074281786,-7.140032369340121,-6.657898013784405,5.381283186131601,-6.040331513243582
none,8.091008786817248,-4.299231305943569,7.859547699785094,1.26070870188312,0,-7.859547699785094,6.35560475937313,10.237597944128519,8.229840755437364,8.228570913996887,-12.590650123600119,2.6478166223699175,8.275142283110068,1.416758717514031,3.9709441772436014,10.237597944128519,-1.2044467470902085,6.29103510843874,10.237597944128519,0,7.859547699785094,7.859547699785094,3.721147884983595,-1.4616770307056128,3.5417070007767375,10.237597944128519,9.396936533873527,2.3052758374344675,12.59065012360012,12.59065012360012,7.859547699785094,8.091008786817248,-5.487404271924742,-8.091008786817248,0,0.7640243418620472,-2.553403249830411
FA,7.226986209285447,-0.20141958656230532,0,0,5.7115977819663835,0,-2.2516088060588246,6.352199737916422,9.995942567696694,9.995942567696694,-9.995942567696694,0,4.613396164577121,0,6.685096749885773,6.352199737916422,0,9.995942567696694,6.352199737916422,-5.711597781966383,0,0,2.9863015843644143,4.096154143151753,0,2.728638170939986,-5.711597781966383,9.995942567696694,9.995942567696694,9.995942567696694,0,7.226986209285447,-7.084008572120233,-7.226986209285447,-5.711597781966383,0,-2.3408451979667615
none,0,-5.803489128499226,0,0,0,0,9.616682537645621,0,0,0,0,0,0,-6.645998405690127,0,0,0,0,0,0,0,0,0,3.6882952580584534,-6.368366669091848,0,0,0,0,0,0,0,0,0,0,0,0
none,0,-5.970936315400964,0,0,0,0,0,-8.721439161976749,0,0,0,-3.048303695286578,0,-5.554387076965365,-5.1540359321981315,0,0,0,0,0,0,0,0,2.7956396943006863,-6.811535041842296,0,0,0,0,0,0,0,0,0,0,0,0
none,0,-5.203952744503212,7.595314904221878,7.595314904221878,0,-7.595314904221878,8.72138196037511,3.770896617475282,5.361240871093803,5.361240871093803,-5.361240871093803,7.595314904221878,0,1.8281271133989296,1.1469928981622914,3.770896617475282,-7.595314904221878,5.361240871093803,3.770896617475282,0,7.595314904221878,7.595314904221878,5.361240871093803,5.738604307588972,-5.530627728554984,3.770896617475282,0,5.361240871093803,5.361240871093803,5.361240871093803,7.595314904221878,0,-8.277147280931787,0,0,7.595314904221878,0
none,8.556383914848066,0,0,0,0,0,0,0,0,-7.825301702946593,0,0,9.105875176133804,0,0,0,0,0,0,0,0,0,0,-0.1454148497286319,0,0,0,0,0,0,0,8.556383914848066,-11.521015528251828,-8.556383914848066,6.063930059424682,-6.520412941874571,-3.1703064898118054
none,5.200490125319537,0,4.905009360381937,4.905009360381937,0,-4.905009360381937,9.467160597013088,0,4.776852416631727,-0.5108256237659904,-4.776852416631727,4.905009360381937,11.37252902932126,4.905009360381937,4.776852416631727,0,-4.905009360381937,4.776852416631727,0,0,4.905009360381937,4.905009360381937,4.776852416631727,3.1433160828225546,0,0,0,-0.83473663451423,4.776852416631727,4.776852416631727,4.905009360381937,5.200490125319537,-7.527716155323238,0.9679017723852286,0,4.905009360381937,-5.200490125319537
none,5.92765082735632,0,0,0,0,0,0,4.939777330368308,1.6238407386161107,1.6238407386161107,-1.6238407386161104,0,0,0,1.6238407386161107,7.926044948697666,0,1.6238407386161107,7.926044948697666,0,0,0,1.6238407386161107,-9.146547054974812,0,7.926044948697666,0,1.6238407386161107,1.6238407386161107,1.6238407386161107,0,5.92765082735632,-10.527202094285661,-0.9120914510325981,0,0,-0.639764766664012
FA,7.231224849429937,-3.6631269580115218,7.887871365994945,7.887871365994945,2.8463069183587537,-7.887871365994945,-2.8463069183587537,12.113044177626744,11.698467582845936,7.3190060568027135,-11.698467582845936,7.887871365994945,-2.8463069183587537,-0.8865209812963482,11.698467582845936,12.113044177626744,1.0771174620781043,11.698467582845936,12.113044177626744,-2.8463069183587537,7.887871365994945,7.887871365994945,11.698467582845936,-9.200578698371904,0,12.113044177626744,-2.8463069183587537,11.698467582845936,11.698467582845936,11.698467582845936,7.887871365994945,2.1274011234788444,-7.499944375391095,-7.231224849429937,4.869358079982728,7.887871365994945,-2.3569183716090736
FA,0,2.358965426430153,0,0,6.494430747555211,0,-6.494430747555211,0,-2.9695090784548883,3.892903683953747,-3.892903683953747,-5.092750340368511,-6.494430747555211,0,3.892903683953747,0,0,3.892903683953747,0,-6.494430747555211,0,0,3.892903683953747,4.457197089752117,0,0,4.000044002965696,3.892903683953747,3.892903683953747,3.892903683953747,0,-5.165634037962984,-11.272062347361201,5.534751840538601,-6.494430747555211,-7.237150242684217,0
FA,6.843997319452763,1.057823600281182,0,0,5.4508571687097636,0,-5.4508571687097636,0,-2.2958137528708726,3.453697547436542,-3.453697547436542,0,4.779064017095216,-4.142232882773924,-0.9688715406175481,0,6.208490829086459,3.453697547436542,0,-5.4508571687097636,-7.0332892205359485,0,3.453697547436542,-5.600827721488423,-1.277718078714059,0,3.261804508003178,-6.036442311619617,3.453697547436542,3.453697547436542,-8.3648401028804,-0.5414055599560799,-10.92304212582136,0.9379280102812071,-5.4508571687097636,-8.870874398010667,0.1269977940648784
FA,7.598855732195063,0.7344997942287061,6.771447285246349,0.8356833279665106,1.3955967537822043,-6.771447285246349,-5.12252160130513,7.889015398277415,-4.687992360253054,0,0,6.771447285246349,6.215437615388953,6.771447285246349,0,7.889015398277415,-0.216545429181532,-7.547355054181627,7.889015398277415,-0.7676113414974863,6.771447285246349,6.771447285246349,-10.170740318071124,-4.453946253537084,-3.0522967147302182,7.889015398277415,3.325402327165996,-12.48100890441403,-8.723995029858862,0,6.771447285246349,1.2278793712122544,-8.583071917810633,-0.8756146694957131,-2.6672282065819553,2.388262246970539,0.3060444766223754
none,0,4.950437746985621,0,0,4.950437746985621,1.2071815219936133,0.5722691793764538,0,-5.028764820526138,0,2.571170125599205,0,-3.5807372954942327,0,0,0,0,0,0,-4.950437746985621,0,0,0,-7.452221641194217,-2.1581578118556584,0,-4.950437746985621,-2.8341125918752303,0,0,0,-4.595551890096014,-11.457394242026917,5.54754328251418,-4.950437746985621,0,0
none,0.8444877933956502,-4.495545844618744,-7.051269185476393,0,0,0,0,0,-3.7991073829747255,-5.797910801661261,0,-5.724718706294555,0,0,0,0,0,0,0,0,0,0,0,-5.771946941472453,-2.283980150011866,0,8.286186793651751,-7.941160065944048,0,0,-5.865552751137294,7.895756978872043,-10.590607853570496,-7.895756978872043,0,0,-7.895756978872043
FA,6.038622590791067,2.1506839136626312,7.245234835874538,9.198580440353004,7.439165149125159,-9.198580440353004,-7.439165149125159,0,0,-8.870481405998145,3.1182072786877755,9.198580440353004,-7.439165149125159,9.198580440353004,0,0,-9.198580440353004,0,0,-7.439165149125159,0.9656345521126554,9.198580440353004,0,-10.76509384761208,0,0,-7.439165149125159,-3.918636205083441,0,0,9.198580440353004,7.991968195269532,-12.683551027372124,-3.277226408983564,-7.439165149125159,3.929306887250278,-7.991968195269532
