Type,Seed,fname,rep,num_ratios,tstat,optMetric
null,5,diabimmune_f6,61,16,14.276370727949086,combinedF
null,5,diabimmune_f6,62,21,14.6797791255391,combinedF
null,5,diabimmune_f6,63,6,24.741540807976822,combinedF
null,5,diabimmune_f6,64,17,31.820679656323108,combinedF
null,5,diabimmune_f6,65,19,21.5074702966619,combinedF
null,5,diabimmune_f6,66,21,17.477630969729205,combinedF
null,5,diabimmune_f6,67,21,49.092407703088895,combinedF
null,5,diabimmune_f6,68,24,49.2139932370067,combinedF
null,5,diabimmune_f6,69,4,15.265072374638912,combinedF
null,5,diabimmune_f6,70,16,32.71950328412896,combinedF
null,5,diabimmune_f6,71,17,34.48888470231337,combinedF
null,5,diabimmune_f6,72,17,27.98864539708863,combinedF
null,5,diabimmune_f6,73,22,26.512768800923077,combinedF
null,5,diabimmune_f6,74,27,26.640042976879208,combinedF
null,5,diabimmune_f6,75,4,13.884958297987609,combinedF
null,5,diabimmune_f6,76,26,35.34532903459516,combinedF
null,5,diabimmune_f6,77,13,26.740116667512204,combinedF
null,5,diabimmune_f6,78,22,19.692009445289557,combinedF
null,5,diabimmune_f6,79,14,22.226900678947068,combinedF
null,5,diabimmune_f6,80,18,44.16061024377406,combinedF
null,5,diabimmune_f6,81,16,30.256895948025353,combinedF
null,5,diabimmune_f6,82,27,30.947856779382853,combinedF
null,5,diabimmune_f6,83,15,26.65607170650225,combinedF
null,5,diabimmune_f6,84,13,14.616262719934692,combinedF
null,5,diabimmune_f6,85,15,26.611172124711807,combinedF
null,5,diabimmune_f6,86,12,17.967231991946747,combinedF
null,5,diabimmune_f6,87,13,28.599359278425606,combinedF
null,5,diabimmune_f6,88,15,11.478336567835816,combinedF
null,5,diabimmune_f6,89,20,50.15760116738875,combinedF
null,5,diabimmune_f6,90,24,43.98485367712189,combinedF
null,5,diabimmune_f6,91,11,27.957502032318622,combinedF
null,5,diabimmune_f6,92,4,13.906692670961945,combinedF
null,5,diabimmune_f6,93,16,21.211950620119943,combinedF
null,5,diabimmune_f6,94,13,18.38582147848851,combinedF
null,5,diabimmune_f6,95,12,51.21926785977488,combinedF
null,5,diabimmune_f6,96,16,20.697635910026722,combinedF
null,5,diabimmune_f6,97,13,13.85924884513378,combinedF
null,5,diabimmune_f6,98,23,23.888766497557985,combinedF
null,5,diabimmune_f6,99,15,23.289958059999897,combinedF
null,5,diabimmune_f6,100,14,24.199491492689482,combinedF
