Type,Seed,fname,rep,num_ratios,tstat,optMetric
null,8,birthDelivery_month5,34,8,2.0718509955318227,scale
null,8,birthDelivery_month5,35,13,2.817080434849022,scale
null,8,birthDelivery_month5,36,15,3.955012795281022,scale
null,8,birthDelivery_month5,37,18,2.0976913229949936,scale
null,8,birthDelivery_month5,38,19,1.7932842380503362,scale
null,8,birthDelivery_month5,39,17,3.4589371454501343,scale
null,8,birthDelivery_month5,40,16,1.8039083805979421,scale
null,8,birthDelivery_month5,41,9,7.653176907737168,scale
null,8,birthDelivery_month5,42,18,3.123903201321599,scale
null,8,birthDelivery_month5,43,25,2.616667212999419,scale
null,8,birthDelivery_month5,44,16,4.7469644877307005,scale
null,8,birthDelivery_month5,45,13,4.264441556798187,scale
null,8,birthDelivery_month5,46,13,3.8619825632938176,scale
null,8,birthDelivery_month5,47,20,2.4364858183085656,scale
null,8,birthDelivery_month5,48,15,4.225186760998579,scale
null,8,birthDelivery_month5,49,8,5.735941970067694,scale
null,8,birthDelivery_month5,50,18,1.9045179896508928,scale
null,8,birthDelivery_month5,51,9,2.247554663538248,scale
null,8,birthDelivery_month5,52,4,8.293246294190563,scale
null,8,birthDelivery_month5,53,12,3.115289241447695,scale
null,8,birthDelivery_month5,54,16,2.946613018757267,scale
null,8,birthDelivery_month5,55,11,1.9621632468926187,scale
null,8,birthDelivery_month5,56,15,2.9372068621227707,scale
null,8,birthDelivery_month5,57,18,3.562906722999217,scale
null,8,birthDelivery_month5,58,7,3.3745901317515146,scale
null,8,birthDelivery_month5,59,15,5.858755936797806,scale
null,8,birthDelivery_month5,60,28,2.547247860663915,scale
null,8,birthDelivery_month5,61,10,2.231957501635413,scale
null,8,birthDelivery_month5,62,14,1.7097628325850762,scale
null,8,birthDelivery_month5,63,15,3.0131122339500194,scale
null,8,birthDelivery_month5,64,31,1.5945975982948637,scale
null,8,birthDelivery_month5,65,8,2.6425188990610953,scale
null,8,birthDelivery_month5,66,14,2.790892100777469,scale
null,8,birthDelivery_month5,67,16,3.413501085069552,scale
null,8,birthDelivery_month5,68,28,3.897771266133559,scale
null,8,birthDelivery_month5,69,19,2.6926960831013034,scale
null,8,birthDelivery_month5,70,18,5.894059825577329,scale
null,8,birthDelivery_month5,71,6,2.5257077450027223,scale
null,8,birthDelivery_month5,72,19,2.3063872150448406,scale
null,8,birthDelivery_month5,73,10,4.062050981753035,scale
null,8,birthDelivery_month5,74,30,1.3703880715647145,scale
null,8,birthDelivery_month5,75,20,1.5689459404600554,scale
null,8,birthDelivery_month5,76,16,2.4703425008094877,scale
null,8,birthDelivery_month5,77,24,1.364900871797818,scale
null,8,birthDelivery_month5,78,16,2.80254278376601,scale
null,8,birthDelivery_month5,79,6,2.2870438602994394,scale
null,8,birthDelivery_month5,80,22,1.8483039455447228,scale
null,8,birthDelivery_month5,81,6,2.2806530373723777,scale
null,8,birthDelivery_month5,82,9,4.46281715185831,scale
null,8,birthDelivery_month5,83,15,3.0798655991815416,scale
null,8,birthDelivery_month5,84,21,4.510560991728927,scale
null,8,birthDelivery_month5,85,8,2.1122164729328907,scale
null,8,birthDelivery_month5,86,7,7.816297789340941,scale
null,8,birthDelivery_month5,87,13,1.6959594340787403,scale
null,8,birthDelivery_month5,88,12,5.386603703743364,scale
null,8,birthDelivery_month5,89,13,5.562728458739366,scale
null,8,birthDelivery_month5,90,21,3.1384492387090863,scale
null,8,birthDelivery_month5,91,9,1.8251673072839367,scale
null,8,birthDelivery_month5,92,12,3.655255947034812,scale
