numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions
1225,12.283999999999992,permanovaF,1.3370524077394284,2,150,Empirical,PERMANOVA,0.11258278145695365,scenario2,Balanced,50
1275,11.358000000000004,permanovaF,1.3081533764678268,2,150,Empirical,PERMANOVA,0.09271523178807947,scenario3,Balanced,50
1275,11.197000000000017,permanovaF,1.2498971255945925,2,150,Empirical,PERMANOVA,0.12582781456953643,scenario4,Balanced,50
1225,13.567000000000007,permanovaF,0.8618860330111873,2,150,Empirical,PERMANOVA,0.7483443708609272,scenario1,Unbalanced,50
1225,9.33899999999997,permanovaF,1.5018447577974299,2,150,Empirical,PERMANOVA,0.026490066225165563,scenario2,Unbalanced,50
1275,11.502999999999986,permanovaF,1.0581202072431797,2,150,Empirical,PERMANOVA,0.4105960264900662,scenario3,Unbalanced,50
1275,12.965000000000003,permanovaF,1.0777991804789508,2,150,Empirical,PERMANOVA,0.33774834437086093,scenario4,Unbalanced,50
11175,17.374000000000024,permanovaF,0.9850664504601172,2,150,Empirical,PERMANOVA,0.4768211920529801,scenario1,Balanced,150
11175,11.132000000000005,permanovaF,0.9573870436114404,2,150,Empirical,PERMANOVA,0.5761589403973509,scenario2,Balanced,150
11325,16.94100000000003,permanovaF,1.0277485808018385,2,150,Empirical,PERMANOVA,0.37748344370860926,scenario3,Balanced,150
11325,10.560999999999979,permanovaF,1.0098122453652658,2,150,Empirical,PERMANOVA,0.44370860927152317,scenario4,Balanced,150
11175,12.52600000000001,permanovaF,1.0541405100691346,2,150,Empirical,PERMANOVA,0.2847682119205298,scenario1,Unbalanced,150
11175,15.45799999999997,permanovaF,1.116196374181065,2,150,Empirical,PERMANOVA,0.17880794701986755,scenario2,Unbalanced,150
11325,12.687999999999988,permanovaF,1.1266336373896335,2,150,Empirical,PERMANOVA,0.16556291390728478,scenario3,Unbalanced,150
11325,14.975999999999942,permanovaF,1.140392390981071,2,150,Empirical,PERMANOVA,0.11920529801324503,scenario4,Unbalanced,150
31125,16.604000000000042,permanovaF,1.1219733464288937,2,150,Empirical,PERMANOVA,0.1390728476821192,scenario1,Balanced,250
31125,19.560000000000173,permanovaF,0.9750105082682987,2,150,Empirical,PERMANOVA,0.6158940397350994,scenario2,Balanced,250
31375,14.793000000000006,permanovaF,0.9555918660787099,2,150,Empirical,PERMANOVA,0.609271523178808,scenario3,Balanced,250
31375,14.826999999999998,permanovaF,0.9236387471190903,2,150,Empirical,PERMANOVA,0.7947019867549668,scenario4,Balanced,250
31125,14.523000000000025,permanovaF,1.02486093558771,2,150,Empirical,PERMANOVA,0.3576158940397351,scenario1,Unbalanced,250
31125,13.90300000000002,permanovaF,0.983116900958933,2,150,Empirical,PERMANOVA,0.6026490066225165,scenario2,Unbalanced,250
31375,14.581000000000017,permanovaF,1.0256301050398915,2,150,Empirical,PERMANOVA,0.40397350993377484,scenario3,Unbalanced,250
31375,14.081999999999994,permanovaF,1.0258684009895158,2,150,Empirical,PERMANOVA,0.3973509933774834,scenario4,Unbalanced,250
