numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions,methStat,reject,Distr
1225,1.3860000000000028,R,0.08137900641025649,12,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,16.007000000000005,estat,316.87795300669325,12,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,6.1810000000000045,permDispF,482.26623460280473,12,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
33,2020.0590000000002,testStat,186.46421149452854,12,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.6729999999999983,R,-0.7877551020408162,12,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,133.567,estat,500.7156391908409,12,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.250000000000014,permDispF,688.8330430290498,12,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
87,5162.213,testStat,315.02294708219654,12,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,1.5889999999999986,R,-0.8036130952380952,12,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,294.787,estat,720.8137115196301,12,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,4.814999999999955,permDispF,1162.915119432188,12,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
138,10559.466,testStat,406.49282403214124,12,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.252999999999993,R,-0.6579481292517007,12,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,13.399999999999999,estat,257.03149658225476,12,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,5.621000000000002,permDispF,272.6620856214925,12,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
37,1846.885,testStat,174.09859246856368,12,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,0.8749999999999982,R,0.012455929487179553,13,150,Empirical,ANOSIM,0.033112582781456956,scenario1,Balanced,150,ANOSIM,1,different
11175,88.636,estat,605.9826168415509,13,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,3.6339999999999986,permDispF,1251.4833334314992,13,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
70,2951.121,testStat,1076.5056795892745,13,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,1.3640000000000008,R,0.0031370192307693437,13,150,Empirical,ANOSIM,0.24503311258278146,scenario1,Balanced,250,ANOSIM,0,different
31125,285.52400000000006,estat,848.7788626679679,13,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,6.9670000000000165,permDispF,1621.7299751135154,13,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
108,15147.727,testStat,1431.2011890867711,13,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.360999999999997,R,0.10436939102564102,13,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,15.448,estat,338.8043331337384,13,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,6.051000000000002,permDispF,417.4670657353695,13,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
29,1986.662,testStat,200.98233839724014,13,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.690999999999999,R,-0.7980841836734694,13,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,134.409,estat,483.3484593041189,13,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.067999999999973,permDispF,999.5642464730109,13,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
75,4709.337,testStat,411.58905620832365,13,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,1.2680000000000007,R,-0.7991743197278911,13,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,376.072,estat,698.9634389053165,13,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,6.471000000000021,permDispF,951.7829009799494,13,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
